YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
2000,13.00,60.00,13.00,141.00,23.00,43.00,8.00,86.00,120.00,27.00,111.00,103.00
2001,47.00,10.00,0.00,138.00,0.00,70.00,91.00,0.00,27.00,204.00,129.20,19.00
2002,0.00,29.00,16.00,5.00,58.00,8.00,22.00,144.00,78.00,255.00,236.00,48.00
2003,0.00,17.00,82.00,11.00,54.00,23.00,57.00,32.00,41.00,135.90,206.00,12.00
2004,0.00,0.00,40.00,47.00,62.00,20.00,18.00,93.00,107.00,360.00,172.00,0.00
2005,0.00,10.00,0.00,60.00,75.00,11.00,20.00,22.00,235.40,235.40,117.40,109.60
2006,13.00,0.00,0.00,26.00,98.00,40.00,59.60,37.00,35.00,157.00,193.00,0.00
2007,3.00,0.00,0.00,47.00,39.00,46.50,55.60,39.40,111.20,292.00,30.00,179.00
2008,3.00,16.00,392.00,109.00,74.00,0.00,23.00,0.00,34.00,235.00,93.00,41.50
2009,5.00,0.00,14.00,43.00,49.00,20.00,57.00,6.00,32.00,51.00,219.00,21.00
2010,2.00,0.00,8.00,111.00,10.00,41.00,38.00,13.00,103.00,107.00,223.00,50.00
2011,2.00,24.00,15.00,25.00,7.00,20.00,39.00,28.00,27.00,322.00,216.00,6.00
2012,4.00,0.00,7.00,45.00,12.00,8.00,4.00,64.00,15.50,274.00,9.00,0.00
2013,0.00,0.00,6.00,44.00,34.00,56.00,48.00,99.00,74.00,72.00,187.00,33.00
2014,0.00,0.00,7.00,3.00,108.00,10.00,51.00,59.00,32.00,315.00,125.00,42.00
2015,0.00,4.00,13.00,96.00,111.00,73.00,17.00,27.00,83.00,40.00,365.00,320.00
2016,0.00,0.00,0.00,6.00,85.00,39.00,0.00,4.00,0.00,125.00,20.00,24.00
2017,17.00,0.00,43.40,24.00,40.00,18.00,10.00,20.00,68.00,24.00,68.00,320.00
